sector,sl_no,project_name,agency,project_code,legacy_ocms_code,original_cost,commissioning_date,expenditure,report_month,source_file,completion_month,ministry,state,approval_date,start_date,actual_completion,target_doc,revised_doc,revised_cost,final_cost,actual_mi,orig_doc_mi,y_cost_overrun_pct,y_time_overrun_m
,11,2L+PS FROM KM 148/170 TO 211 /100 (DEVAL- DUNGARPUR-HIRATA - VARDA-SAGWARA) SECTION OF NH-927A. PKG-,MoRTH,,N24001413,240.99,01/2024,233.39,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,240.99,24289.0,,0.0,
,12,CONSTRUCTION OF 4 LANE ELEVATED VIADUCT AT KM. 7.500 MUNSHI PULIA OF NH-24A,MoRTH,,N24001460,170.6,09/2024,153.26,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,170.6,24297.0,,0.0,
,13,UPGRADATION AND REHABILITATION TO TWO LANE WITH PAVED SHOULDER OF BARMER GHAGARIYA SECTION FROM KM 0,MoRTH,,N24001531,304.87,08/2024,289.31,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,304.87,24296.0,,0.0,
,14,SANGARIYA (NEAR CHAUTALA)-RASISAR (NEAR BIKANER) (PHASE-I) (AJ/SR-PACKAGE-2),NHAI,,N24001560,755.16,10/2023,755.16,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,755.16,24286.0,,0.0,
,15,SANGARIYA (NEAR CHAUTALA)-RASISAR (NEAR BIKANER) (PHASE-I) (AJ/SR-PACKAGE-1),NHAI,,N24001562,738.9,10/2023,738.9,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,738.9,24286.0,,0.0,
,16,DELHI-VADODARA GREENFIELD ALIGNMENT (NH- 148N) (PKG-16) (CH. 427.300 TO CH.452.420) [MAJOR BRIDGE OVE,NHAI,,N24001572,952.57,01/2023,952.57,2024-08,August_Part-2(List_of_tables).pdf,,,,,,,,,,952.57,24277.0,,0.0,
,1,DEVANGONTHI MARKETING TERMINAL,MANGALORE REFIN,,N16000401,200.0,1/2023,255.87,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,200.0,24277.0,,0.0,
,2,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,,N18000300,1184.88,1/2022,846.92,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,1184.88,24265.0,,0.0,
,3,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,,N18000305,713.82,1/2022,671.59,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,713.82,24265.0,,0.0,
,4,CHALLAKERE TO HARIYUR SECTION FROM KM 358.500 TO KM 414.205 OF NH150 A,NHAI,,N24001690,1167.52,1/2023,946.42,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,1167.52,24277.0,,0.0,
,5,4L OF HARDA - BETUL (PKG-I) FROM KM.0 TO KM.30 [HARDA - TEMAGAON],NHAI,,N24001763,774.16,1/2023,463.85,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,774.16,24277.0,,0.0,
,6,4L OF HARDA - BETUL (PKG-III) FROM KM. 81.00 TO KM.121.248 [CHICHOLI - BETUL],NHAI,,N24001764,814.04,1/2023,468.94,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,814.04,24277.0,,0.0,
,7,UPGRADATION OF NH 930 JHALMALA TO SHERPER FROM NH KM 30.600 TO KM 67.800 TO TWOFOUR LANE WITH PAVED,MoRTH,,N24001918,222.86,1/2023,168.98,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,222.86,24277.0,,0.0,
,8,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY CARRIAGEWAY FROM BANI VILLAGE TO BARDAWADI V,NHAI,,N24001212,656.98,1/2022,1058.34,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,656.98,24265.0,,0.0,
,9,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY CARRIAGEWAY FROM RAJASTHAN/MP BORDER TO JODM,NHAI,,N24001214,217.96,1/2022,2298.0,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,217.96,24265.0,,0.0,
,10,REHABILITATION AND UPGRADATION OF NH 111 FROM KM 163.400 TO 215.800 SHIVNAGAR TO AMBIKAPUR SECTION,MoRTH,,N24001218,335.32,1/2017,345.52,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,335.32,24205.0,,0.0,
,11,REHABILITATION AND UPGRADATION OF NH 200 FROM KM 178.944 TO 241.553 BANARI VILLAGE TO MASANIA KALA V,MoRTH,,N24001219,476.2,1/2016,502.91,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,476.2,24193.0,,0.0,
,12,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH-06,PKG-IV,,N24001283,281.78,1/2022,237.91,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,281.78,24265.0,,0.0,
,13,MARIAM - PEREN PKG-2B,NHIDCL,,N24001351,232.26,1/2022,156.93,2024-09,September_Part-2(List_of_tables).pdf,,,,,,,,,,232.26,24265.0,,0.0,
,1,CHURI BENTI UG (0.81 MTY),CCL,,N06000083,163.51,03/2011,133.35,2024-10,October.pdf,,,,,,,,,,163.51,24135.0,,0.0,
,2,CONSTRUCTION OF TWO PRODUCED WATER TREATMENT PLANTS (PWTP) AT BECHARAJI AND SOBHASAN INSTALLATION OF,ONGC,,N16000482,320.2,07/2024,176.01,2024-10,October.pdf,,,,,,,,,,320.2,24295.0,,0.0,
,3,OMKARESHWAR FLOATING SOLAR POWER PROJECT (90 MW),SJVN,,N18000342,646.17,04/2024,600.77,2024-10,October.pdf,,,,,,,,,,646.17,24292.0,,0.0,
,4,"JAYANAGAR-DARBHANGA-NARKATIA GANJ(GC),ECR",ECR,220100240.0,,324.73,03/2012,1236.97,2024-10,October.pdf,,,,,,,,,,324.73,24147.0,,0.0,
,5,"DAUSA-GANGAPUR CITY(NL),NWR",NWR,220100184.0,,410.08,02/2019,1060.42,2024-10,October.pdf,,,,,,,,,,410.08,24230.0,,0.0,
,6,BHUJ-NALIYA(GC) WITH EXTENSION FROM NALIYA TO VAYOR (WR),WR,,N22000123,318.24,03/2012,1317.64,2024-10,October.pdf,,,,,,,,,,318.24,24147.0,,0.0,
,7,PHULERA - DIGANA DOUBLING,NWR,,N22000326,600.0,03/2020,765.54,2024-10,October.pdf,,,,,,,,,,600.0,24243.0,,0.0,
,8,SAKRI-NIRMALI AND JHANJHARPUR- LAUKAHABAZAR AND SAHARSA-FORBESGANJ (GC),ECR,,N22000180,372.14,,2538.48,2024-10,October.pdf,,,,,,,,,,372.14,,,0.0,
,9,AGARTALA-AKHAURA NL,NFR,,N22000195,569.63,03/2020,380.92,2024-10,October.pdf,,,,,,,,,,569.63,24243.0,,0.0,
,10,MAYLADUTHURAI-THIRUVARUR-KARAIKUDI-THIRU 'PONDI'-AGASTIYAMPALLI,SR,,N22000079,724.69,02/2019,1931.12,2024-10,October.pdf,,,,,,,,,,724.69,24230.0,,0.0,
,11,KALOL-KADI-KATOSAN ROAD (37.23 KM),WR,,N22000549,279.23,06/2027,397.87,2024-10,October.pdf,,,,,,,,,,279.23,24330.0,,0.0,
,12,POWARKHEDA - JUJHARPUR - SINGLE LINE FLYOVER IN UP DIRECTION (15.89 KM),WCR,,N22000552,199.63,03/2024,150.0,2024-10,October.pdf,,,,,,,,,,199.63,24291.0,,0.0,
,13,Chinnasalem-Kallakurichi New Line (MM of cuddalore- Salem 191 KM),SR,,N22000567,417.5,03/2025,184.32,2024-10,October.pdf,,,,,,,,,,417.5,24303.0,,0.0,
,14,BARABANKI AKBARPUR DOUBLING,NR,,N22000578,1200.0,03/2025,1650.0,2024-10,October.pdf,,,,,,,,,,1200.0,24303.0,,0.0,
,15,JAUNPUR AKBARPUR (TANDA) DOUBLING,NR,,N22000582,515.5,03/2025,670.0,2024-10,October.pdf,,,,,,,,,,515.5,24303.0,,0.0,
,16,RAJPURA-BHATINDA (172.64 KM),MEGA,,N22000597,1775.73,03/2024,1750.0,2024-10,October.pdf,,,,,,,,,,1775.73,24291.0,,0.0,
,17,NATHDWARA-NEW NATHDWARA NEW LINE ( MM OF AJMER-CHITTAURGARH-UDAIPUR),WR,,N22000623,166.33,06/2025,55.81,2024-10,October.pdf,,,,,,,,,,166.33,24306.0,,0.0,
,18,KATNI-BINA 3RD LINE (263 KM),WCR,,N22000415,2478.23,03/2022,1279.35,2024-10,October.pdf,,,,,,,,,,2478.23,24267.0,,0.0,
,19,MANMAD-PARBHANI-NANDED-SECUNDERABAD- GADWAL-DHONE- GUNTAKAL - TRAIN COLLISION AVOIDANCE SYSTEM (958 K,SCR,,N22000432,119.73,03/2022,54.15,2024-10,October.pdf,,,,,,,,,,119.73,24267.0,,0.0,
,20,4-LANING OF LOHA - WARANGA SECTION OF NH- 361 FROM KM. 187.800 TO KM. 244.369 (DESIGN LENGTH 56.569 K,NHAI,,N24000854,1005.08,03/2021,699.05,2024-10,October.pdf,,,,,,,,,,1005.08,24255.0,,0.0,
,21,IMPROVEMENT/WIDENING TO 2-LANE WITH EARTHEN SHOULDERS FROM RANIKOR TO NONGJRI EXISTING CHAINAGE FROM,NHIDCL,,N24000903,306.28,03/2022,233.49,2024-10,October.pdf,,,,,,,,,,306.28,24267.0,,0.0,
,22,FOUR LANING OF 5.122 KM OF NH9(NEW NH 65) FROM KM 269.900(DESIGN CH0.0) TO KM 275/622(DESIGN CH 5.12,MoRTH,,N24000928,333.21,12/2015,342.71,2024-10,October.pdf,,,,,,,,,,333.21,24192.0,,0.0,
,23,REHABILITATION AND UPGRADATION OF NH219(NEW NH42) FROM KM 244.930 TO 299.775,MADANAPALLI PUNGANURU,,N24000929,372.68,02/2017,274.76,2024-10,October.pdf,,,,,,,,,,372.68,24206.0,,0.0,
,24,REHABILITATION AND UPGRADATION OF NH-340 FROM KM 0/0 TO KM 60/380 (DESIGN CH. 0/000 TO 60/025 EXCLUD,MoRTH,,N24000932,319.28,08/2017,245.55,2024-10,October.pdf,,,,,,,,,,319.28,24212.0,,0.0,
,25,REHABILITATION AND UPGRADATION OF NH565 FROM EXISTING KM 361.330(DORNALA T JUNCTION) TO KM 420.800(P,MoRTH,,N24000963,418.03,08/2018,370.55,2024-10,October.pdf,,,,,,,,,,418.03,24224.0,,0.0,
,26,WAKAN PALI KHOPOLI,MoRTH,,N24001026,376.19,05/2019,118.74,2024-10,October.pdf,,,,,,,,,,376.19,24233.0,,0.0,
,27,AHMADPUR TO PIMPLA,MoRTH,,N24001029,422.38,08/2019,269.59,2024-10,October.pdf,,,,,,,,,,422.38,24236.0,,0.0,
,28,PIMPLA TO MANJARSUMBHA,MoRTH,,N24001030,595.77,08/2019,357.73,2024-10,October.pdf,,,,,,,,,,595.77,24236.0,,0.0,
,29,MANSAR TO SALAIKHURD,MoRTH,,N24001035,418.36,12/2019,263.13,2024-10,October.pdf,,,,,,,,,,418.36,24240.0,,0.0,
,30,JAHIRABAD TO LATUR,MoRTH,,N24001040,461.96,11/2019,329.59,2024-10,October.pdf,,,,,,,,,,461.96,24239.0,,0.0,
,31,SHIROD SHAHPURER TO NANDED,MoRTH,,N24001041,211.34,07/2019,136.33,2024-10,October.pdf,,,,,,,,,,211.34,24235.0,,0.0,
,32,SALAIKHURD TO TIRORA,MoRTH,,N24001042,415.25,12/2019,274.02,2024-10,October.pdf,,,,,,,,,,415.25,24240.0,,0.0,
,33,NILAJPHATA TO BHANDARA,MoRTH,,N24001043,420.63,05/2020,219.4,2024-10,October.pdf,,,,,,,,,,420.63,24245.0,,0.0,
,34,MEHKAR TO AJISPUR,MoRTH,,N24001048,232.77,07/2019,151.6,2024-10,October.pdf,,,,,,,,,,232.77,24235.0,,0.0,
,35,CHIKALI TO DHAD,MoRTH,,N24001061,189.46,12/2019,133.07,2024-10,October.pdf,,,,,,,,,,189.46,24240.0,,0.0,
,36,DHAD BHOKARDAN TO BHOKARDHAN SILLOD,MoRTH,,N24001062,336.21,12/2019,236.11,2024-10,October.pdf,,,,,,,,,,336.21,24240.0,,0.0,
,37,PARBHANI TO GANGKHED,MoRTH,,N24001065,238.19,12/2019,194.54,2024-10,October.pdf,,,,,,,,,,238.19,24240.0,,0.0,
,38,KOTHARI TO DHANORA,MoRTH,,N24001073,301.38,08/2020,240.32,2024-10,October.pdf,,,,,,,,,,301.38,24248.0,,0.0,
,39,OSMANNAGAR TO KUNDRAL,MoRTH,,N24001075,344.25,08/2020,194.72,2024-10,October.pdf,,,,,,,,,,344.25,24248.0,,0.0,
,40,CHIMUR TO WARORA,MoRTH,,N24001105,467.7,03/2019,235.04,2024-10,October.pdf,,,,,,,,,,467.7,24231.0,,0.0,
,41,BARASGAON TO RAHATEE,MoRTH,,N24001113,289.11,09/2018,232.56,2024-10,October.pdf,,,,,,,,,,289.11,24225.0,,0.0,
,42,FARDAPUR TO JALGAON,MoRTH,,N24001126,456.45,06/2019,427.43,2024-10,October.pdf,,,,,,,,,,456.45,24234.0,,0.0,
,43,WARDHA TO ARVI,MoRTH,,N24001150,313.58,04/2020,230.41,2024-10,October.pdf,,,,,,,,,,313.58,24244.0,,0.0,
,44,2 LANING OF KOHIMA - JESSAMI SECTION,PACKAGE I,,N24001280,320.97,06/2022,182.21,2024-10,October.pdf,,,,,,,,,,320.97,24270.0,,0.0,
,45,2 LANING OF KOHIMA - JESSAMI SECTION,PACKAGE III,,N24001284,361.53,06/2022,200.22,2024-10,October.pdf,,,,,,,,,,361.53,24270.0,,0.0,
,46,DULTE- KWALKULH - CHAMPAI PKG.3,NHIDCL,,N24001357,674.71,06/2023,589.25,2024-10,October.pdf,,,,,,,,,,674.71,24282.0,,0.0,
,47,JORAM ? KOLORIANG ROAD FROM EXISTING KM104.850 TO KM 122.60 (PKG-6),NHIDCL,,N24001392,199.03,04/2022,102.85,2024-10,October.pdf,,,,,,,,,,199.03,24268.0,,0.0,
,48,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-VI) FROM JUNCTION WITH PATIALA-SAMANA- PATRAN ROAD (SH-1,NHAI,,N24001414,733.0,01/2024,868.44,2024-10,October.pdf,,,,,,,,,,733.0,24289.0,,0.0,
,49,MOPA AIRPORT,MoRTH,,N24001458,1183.16,04/2022,1106.3,2024-10,October.pdf,,,,,,,,,,1183.16,24268.0,,0.0,
,50,REHABLITATION AND UPGRADATION OF AMBOLI JUNCTION (DESIGN CH. 71+530) TO AJARA (DESIGN CH.100+835) SE,MoRTH,,N24001881,574.0,11/2024,574.0,2024-10,October.pdf,,,,,,,,,,574.0,24299.0,,0.0,
,51,SHEWALI (SAKRI) - NANDURBAR,MoRTH,,N24001893,232.59,04/2024,97.7,2024-10,October.pdf,,,,,,,,,,232.59,24292.0,,0.0,
,52,CONSTRUCTION OF EIGHT LANE EXPRESSWAY STARTING AT CH. 47+000 NEAR KHANPUR GHATI AND ENDS AT HARYANA,NHAI,,N24001784,1935.61,09/2021,856.41,2024-10,October.pdf,,,,,,,,,,1935.61,24261.0,,0.0,
,53,CONSTRUCTION OF BRIDGE INCLUDING APPROACHES ACROSS RIVER ZUARI ON NH-17 (NH- 66) ON PANJIM-MANGALORE,MoRTH,,N24000444,936.4,,770.9,2024-10,October.pdf,,,,,,,,,,936.4,,,0.0,
,54,WIDENING TO 4/6/8 LANES OF EXISTING NH-17 FROM KM 522/615 (NEAR GMC) TO KM 530/850 JOINING NEW ZUIAR,MoRTH,,N24000516,819.95,,504.65,2024-10,October.pdf,,,,,,,,,,819.95,,,0.0,
,55,REHABILITATION AND UPGRADATION OF EXISTING NH-565 FROM KM.86.057 TO 133.922 OF NAGARJUNASAGAR DAM T,MoRTH,,N24000282,195.45,11/2014,294.47,2024-10,October.pdf,,,,,,,,,,195.45,24179.0,,0.0,
,56,"FOUR LANING OF EXISTING 2 LANE SECTION FROM MALOUT (DESIGN KM 44.500, EXISTING KM 80.200 OF NH-07) V",NHAI,,N24001514,1060.29,01/2024,975.55,2024-10,October.pdf,,,,,,,,,,1060.29,24289.0,,0.0,
,57,SHRIRAMPUR (KM. 0.000) TO KOCHUGAON (KM. 30.000) OF BIJNI TO ASSAM./WEST BENGAL BORDER SECTION OF NH,NHAI,,N24001549,442.23,04/2020,647.3,2024-10,October.pdf,,,,,,,,,,442.23,24244.0,,0.0,
,58,4L OF MALOUT-MANDI DABWALI SECTION PKG-01 DANEWALA AT KM 7.000 TO MANDI DABWALI AT KM 29.500 OF NH-0,NHAI,,N24001645,366.85,06/2023,276.34,2024-10,October.pdf,,,,,,,,,,366.85,24282.0,,0.0,
,59,SIX LANNING OF MANDI DABWALI,PUNJAB/HARYANA BORDER)- CHAUTALA ROAD,,N24001672,864.27,01/2024,787.78,2024-10,October.pdf,,,,,,,,,,864.27,24289.0,,0.0,
,60,CONSTRUCTION OF 4 LANE BANGALORE -CHENNAI EXPRESSWAY FROM KM 53.500 TO KM 71.000 SECTION OF NE-7 (BA,NHAI,,N24001685,1069.0,01/2024,840.4,2024-10,October.pdf,,,,,,,,,,1069.0,24289.0,,0.0,
,61,CONSTRUCTION OF 4 LANE BANGALORE-CHENNAI EXPRESSWAY FROM KM 0.000 TO KM 26.400 NE- 7(ALONG WITH 0.700,NHAI,,N24001688,3184.0,09/2023,1165.0,2024-10,October.pdf,,,,,,,,,,3184.0,24285.0,,0.0,
,62,CONSTRUCTION OF 4 LANE BANGALORE - CHENNAI EXPRESSWAY FROM KM 26.400 TO KM 53.500 SECTION OF NE-7 (M,NHAI,,N24001689,1745.0,09/2023,1252.9,2024-10,October.pdf,,,,,,,,,,1745.0,24285.0,,0.0,
,1,ENNORE THIRUVALLUR BENGALURU PUDUCHERRY NAGAPATTINAM MADURAITUTICORIN GAS PIPELINE,IOCL,,N16000253,4497.0,1/2018,5519.37,2024-11,November.pdf,,,,,,,,,,4497.0,24217.0,,0.0,
,2,FOUR LANING OF MADURAI- CHETTIKULAM SECTION OF NH-785 FROM MADURAI (KM 0/000) TO CHETTICULAM (7/300),NHAI,,N24000827,628.71,1/2020,757.81,2024-11,November.pdf,,,,,,,,,,628.71,24241.0,,0.0,
,3,BALANCE WORK OF RANCHI-MAHULIA SECTION OF NH- 33 FROM KM 113.730 (VIKAS) TO KM 140.000 (RAMPUR),PKG-,,N24001597,466.55,1/2020,0.0,2024-11,November.pdf,,,,,,,,,,466.55,24241.0,,0.0,
,4,4 LANING OF GALGALIA - BAHADURGANJ SECTION FROM KM 0.000 TO KM 49.000 (PACKAGE-I) OF NH-327E.,NHAI,,N24001706,1097.18,1/2024,518.04,2024-11,November.pdf,,,,,,,,,,1097.18,24289.0,,0.0,
,5,4 LANING OF BAHADURGANJ ARARIA SECTION FROM KM 49.000 TO KM 94.000 (PACKAGE-II) OF NH-327E,NHAI,,N24001707,1143.46,1/2024,551.35,2024-11,November.pdf,,,,,,,,,,1143.46,24289.0,,0.0,
,6,4 LANING FROM KM. 34.600 TO KM. 79.970 and 2LPS FROM KM. 79.970 TO KM. 82.000 OF NARENPUR - PURNEA S,NHAI,,N24001710,2334.68,1/2023,916.0,2024-11,November.pdf,,,,,,,,,,2334.68,24277.0,,0.0,
,7,FOUR LANING OF BAL. WORKS OF BARASAT- KRISHNAGAR FROM KM.48.553 TO KM.115.272,NHAI,,N24001752,2375.87,1/2023,2701.38,2024-11,November.pdf,,,,,,,,,,2375.87,24277.0,,0.0,
